"site_name","predictor","intercept","intercept_l95","intercept_u95","int_eff_smpl","int_pMCMC","slope","slope_l95","slope_u95","slo_eff_smpl","slo_pMCMC","adv_per_dec"
"ALEXFIORD","Snowmelt",286.7186232175,-421.206282045227,1015.33795778516,502319.786795688,0.408857314388633,-0.0611447550977999,-0.419203359109815,0.298117804311914,502332.705528346,0.721468881328797,-0.611447550977999
"ALEXFIORD","Temperature",-121.95503354751,-245.091354416552,2.10341283347043,504677.037900451,0.0527236341805083,0.0629563245189897,0.0010178645607084,0.12446238459961,504651.279460606,0.0460996597958776,0.629563245189897
"ALEXFIORD","Sea-Ice",3189.09565291154,-1335.55811325461,7798.81993859823,499700.000000006,0.157766659995998,-1.50866762036151,-3.80164375744062,0.759036724513862,499699.999999977,0.179595757454473,-15.0866762036151
"BARROW","Snowmelt",444.546237741966,-532.730259340475,1409.79591826278,499700.000000004,0.341152691614969,-0.140602843133178,-0.6240531031508,0.345531258790288,499699.999999997,0.542273364018411,-1.40602843133178
"BARROW","Temperature",-90.7809077180994,-241.489367451024,61.1417403113992,501730.784082688,0.2175905543326,0.0455103965117745,-0.0304129083669977,0.120624653758568,501721.371916464,0.215789473684211,0.455103965117745
"BARROW","Sea-Ice",2377.89966441013,-224.426308975962,4975.17779063401,495580.796380521,0.0699899939963979,-1.08319359554943,-2.37878652350628,0.216559866901662,495573.618091926,0.0948328997398439,-10.8319359554943
"QHI","Snowmelt",1780.48114099329,198.863736346219,3387.30091827194,499699.999999992,0.0312187312387433,-0.815294876189382,-1.61859969306897,-0.0310849763336591,499700.000000001,0.0449989993996398,-8.15294876189382
"QHI","Temperature",-464.355088047587,-768.81583543864,-155.100053783142,499699.99999998,0.00578347008204923,0.230208784943941,0.0776700890273787,0.383240727856901,499700.00000001,0.00597558535121068,2.30208784943941
"QHI","Sea-Ice",9497.4319149583,4073.82624915275,14882.7575215841,499699.999999998,0.00213728236942168,-4.63930450229068,-7.32076962785504,-1.93962978978016,499699.999999989,0.00243746247748649,-46.3930450229068
"ZACKENBERG","Snowmelt",2214.48869813463,-242.522593344736,4680.6373824465,499699.999999998,0.0745767460476285,-1.0217681007122,-2.25135719834361,0.205854484956944,499700,0.0963458074844907,-10.217681007122
"ZACKENBERG","Temperature",-116.015067461253,-293.559549294245,62.4068522400048,499699.999999999,0.182925755453272,0.0585364197266948,-0.0306032041844446,0.147080949041992,499699.999999994,0.178371022613568,0.585364197266948
"ZACKENBERG","Sea-Ice",2228.85572116917,-6760.20162664779,11359.3203373803,503036.731689796,0.606704022413448,-1.02808477125,-5.60721288372588,3.43600863774191,503032.009253493,0.634276565939564,-10.2808477125
